,tanggal,listrik,makanan,co2,energi,hutan,gdp,ozon
0,1990-01-01,60.34,62.31,149565.9,129,65.44,622.8660132,2.0
1,1991-01-01,48.9,63.13,179730.7,124,64.38,672.5881106,80.8
2,1992-01-01,64.03,68.63,202576.1,120,63.33,725.9760689,6693.3
3,1993-01-01,55.43,69.59,218600.9,123,62.27,881.3616821,5686.3
4,1994-01-01,62.8,70.79,221413.5,115,61.21,971.1075966,8027.1
5,1995-01-01,66.86,77.74,224941.1,117,60.16,1092.6972369999999,9199.6
6,1996-01-01,72.39,78.01,253290.7,112,59.1,1210.948122,9476.0
7,1997-01-01,80.3,75.26,278659.0,111,58.04,1132.562479,7965.8
8,1998-01-01,80.94,75.17,210210.8,125,56.99,493.9995683,6330.5
9,1999-01-01,83.73,75.61,241989.0,130,55.93,714.5453307999999,5921.2
10,2000-01-01,86.3,78.33,263418.9,133,54.87,830.5845879,5451.2
11,2001-01-01,86.26,80.91,294907.5,132,54.7,796.3958746000001,5229.5
12,2002-01-01,87.6,86.08,306737.2,131,54.53,957.7806429,5787.4
13,2003-01-01,87.94,91.79,316792.1,126,54.36,1133.411259,5119.8
14,2004-01-01,89.01,95.68,337635.4,127,54.19,1222.911783,4256.7
15,2005-01-01,87.13,98.04,341991.8,123,54.02,1342.5441560000002,2725.7
16,2006-01-01,90.62,106.27,345119.7,119,53.64,1688.874304,553.7
17,2007-01-01,91.1,108.85,375544.8,112,53.26,1975.167375,500.1
18,2008-01-01,92.73,113.79,412387.2,107,52.88,2300.370675,299.9
19,2009-01-01,93.55,121.04,453105.5,110,52.51,2400.367644,374.8
20,2010-01-01,94.15,123.87,436981.7,109,52.13,3113.4806350000003,433.0
21,2011-01-01,94.83,126.35,563984.6,102,51.75,3634.2768049999995,337.5
