,tanggal,status,Brunei Darussalam,Cambodia,Indonesia ,Lao's PDR,Malaysia ,Myanmar,Philippines,Singapore,Thailand,Viet Nam
0,2004-01-01,male,77.8,78.9,86.0,,80.9,80.6,82.9,75.7,81.2,
1,2004-01-01,female,56.9,70.7,49.2,,47.2,48.8,50.2,51.3,63.8,
2,2005-01-01,male,78.0,,85.6,,80.0,81.1,79.8,74.4,81.1,
3,2005-01-01,female,57.6,,50.7,,45.9,49.1,49.8,52.0,64.3,
4,2006-01-01,male,77.5,,84.2,,79.9,81.6,79.2,76.2,81.3,
5,2006-01-01,female,59.0,,48.0,,45.8,49.5,48.5,54.3,65.1,
6,2007-01-01,male,78.2,89.6,83.7,,79.5,82.0,78.3,76.5,81.7,78.8
7,2007-01-01,female,59.7,78.3,50.3,,46.4,49.8,48.2,54.3,66.0,70.9
8,2008-01-01,male,78.8,88.8,83.5,,79.0,82.5,78.9,76.1,81.5,80.1
9,2008-01-01,female,60.6,75.6,51.1,,45.7,50.1,48.6,55.6,65.8,71.3
10,2009-01-01,male,79.5,88.8,83.7,,78.9,83.0,78.8,76.3,81.9,81.0
11,2009-01-01,female,61.5,80.4,51.0,,46.4,50.4,49.3,55.2,65.6,72.3
12,2010-01-01,male,80.1,90.0,83.8,79.3,79.3,82.4,78.9,76.5,81.2,82.0
13,2010-01-01,female,62.0,84.2,51.8,76.2,46.8,50.0,49.6,56.5,65.3,73.0
14,2011-01-01,male,77.3,90.4,84.3,,79.7,82.4,80.4,75.6,81.1,81.7
15,2011-01-01,female,59.9,84.8,52.4,,47.9,50.0,52.2,57.0,65.9,72.6
16,2012-01-01,male,80.5,89.1,84.4,,80.5,82.7,78.2,76.0,81.2,81.2
17,2012-01-01,female,63.2,79.7,51.4,,49.5,50.2,49.6,57.7,65.3,72.5
18,2013-01-01,male,,88.7,83.6,,80.7,83.5,78.1,75.8,80.5,82.1
19,2013-01-01,female,,77.8,50.3,,52.4,50.7,49.8,58.1,63.3,73.2
20,2014-01-01,male,72.4,,83.1,,,85.2,,75.9,,82.5
21,2014-01-01,female,58.3,,50.2,,,50.5,,58.6,,73.3
